city_name,date,temp,rain,wind_direction,wind_power,humidity
密云,更新于：2018-08-29 22:20发布,21.3℃,0mm,-,-,93%
门头沟,更新于：2018-08-29 22:20发布,24.3℃,0mm,西北风,微风,67%
怀柔,更新于：2018-08-29 22:20发布,22.9℃,0mm,东南风,微风,81%
房山,更新于：2018-08-29 22:20发布,22.5℃,0mm,西北风,微风,82%
大兴,更新于：2018-08-29 22:20发布,22.2℃,0mm,西南风,微风,76%
昌平,更新于：2018-08-29 22:20发布,23.9℃,0mm,东北风,微风,66%
石景山,更新于：2018-08-29 22:20发布,24.6℃,0mm,东南风,微风,62%
海淀,更新于：2018-08-29 22:20发布,23.3℃,0mm,-,-,76%
丰台,更新于：2018-08-29 22:20发布,24.1℃,0mm,西风,微风,68%
朝阳,更新于：2018-08-29 22:20发布,27.1℃,0mm,西南风,微风,55%
北京,更新于：2018-08-29 23:20发布,25℃,0mm,西南风,微风,62%
延庆,更新于：2018-08-29 23:20发布,22.4℃,0mm,-,-,64%
通州,更新于：2018-08-29 23:20发布,21.3℃,0mm,-,-,95%
顺义,更新于：2018-08-29 23:20发布,24.9℃,0mm,东北风,微风,70%
平谷,更新于：2018-08-29 23:20发布,22.6℃,0mm,东北风,微风,78%
密云,更新于：2018-08-29 23:20发布,21.4℃,0mm,东北风,微风,92%
门头沟,更新于：2018-08-29 23:20发布,23.4℃,0mm,西南风,微风,76%
怀柔,更新于：2018-08-29 23:20发布,22℃,0mm,西南风,微风,88%
房山,更新于：2018-08-29 23:20发布,22℃,0mm,西北风,微风,84%
大兴,更新于：2018-08-29 23:20发布,22.5℃,0mm,东南风,微风,75%
昌平,更新于：2018-08-29 23:20发布,24.6℃,0mm,东北风,微风,62%
石景山,更新于：2018-08-29 23:20发布,23.8℃,0mm,西南风,微风,67%
海淀,更新于：2018-08-29 23:20发布,22.9℃,0mm,-,-,77%
丰台,更新于：2018-08-29 23:20发布,23.4℃,0mm,西北风,微风,77%
朝阳,更新于：2018-08-29 23:20发布,26.7℃,0mm,西南风,微风,58%
北京,更新于：2018-08-30 00:20发布,24.7℃,0mm,西南风,微风,66%
延庆,更新于：2018-08-30 00:20发布,21.8℃,0mm,东北风,微风,68%
通州,更新于：2018-08-30 00:20发布,20.9℃,0mm,东南风,微风,97%
顺义,更新于：2018-08-30 00:20发布,24.9℃,0mm,东南风,微风,69%
平谷,更新于：2018-08-30 00:20发布,22.1℃,0mm,东北风,微风,82%
密云,更新于：2018-08-30 00:20发布,21.7℃,0mm,东北风,微风,89%
门头沟,更新于：2018-08-30 00:20发布,23.2℃,0mm,西南风,微风,70%
怀柔,更新于：2018-08-30 00:20发布,21.7℃,0mm,西北风,微风,87%
房山,更新于：2018-08-30 00:20发布,22℃,0mm,西南风,微风,85%
大兴,更新于：2018-08-30 00:20发布,23℃,0mm,西南风,微风,75%
昌平,更新于：2018-08-30 00:20发布,24.7℃,0mm,西北风,微风,61%
石景山,更新于：2018-08-30 00:20发布,23.9℃,0mm,东南风,微风,67%
海淀,更新于：2018-08-30 00:20发布,23℃,0mm,-,-,82%
丰台,更新于：2018-08-30 00:20发布,24.3℃,0mm,西南风,微风,70%
朝阳,更新于：2018-08-30 00:20发布,26.6℃,0mm,西南风,微风,57%
北京,更新于：2018-08-30 01:20发布,24.4℃,0mm,西南风,微风,67%
延庆,更新于：2018-08-30 01:20发布,21℃,0mm,东北风,微风,73%
通州,更新于：2018-08-30 01:20发布,21.1℃,0mm,东南风,微风,98%
顺义,更新于：2018-08-30 01:20发布,24.7℃,0mm,东南风,微风,71%
平谷,更新于：2018-08-30 01:20发布,22.1℃,0mm,东北风,微风,82%
密云,更新于：2018-08-30 01:20发布,21.8℃,0mm,西北风,微风,89%
门头沟,更新于：2018-08-30 01:20发布,23.1℃,0mm,东南风,微风,72%
怀柔,更新于：2018-08-30 01:20发布,22℃,0mm,西北风,微风,86%
房山,更新于：2018-08-30 01:20发布,22.3℃,0mm,西南风,微风,83%
大兴,更新于：2018-08-30 01:20发布,23.2℃,0mm,-,-,75%
昌平,更新于：2018-08-30 01:20发布,23.6℃,0mm,西北风,微风,68%
石景山,更新于：2018-08-30 01:20发布,24℃,0mm,东北风,微风,71%
海淀,更新于：2018-08-30 01:20发布,23℃,0mm,-,-,81%
丰台,更新于：2018-08-30 01:20发布,24.2℃,0mm,西南风,微风,70%
朝阳,更新于：2018-08-30 01:20发布,25.8℃,0mm,西南风,微风,61%
北京,更新于：2018-08-30 02:20发布,24.2℃,0mm,西南风,微风,70%
延庆,更新于：2018-08-30 02:20发布,20.9℃,0mm,东南风,微风,75%
通州,更新于：2018-08-30 02:20发布,20.9℃,0mm,-,-,98%
顺义,更新于：2018-08-30 02:20发布,24.4℃,0mm,东南风,微风,73%
平谷,更新于：2018-08-30 02:20发布,22.1℃,0mm,东北风,微风,83%
密云,更新于：2018-08-30 02:20发布,21.2℃,0mm,东北风,微风,94%
门头沟,更新于：2018-08-30 02:20发布,22.8℃,0mm,东南风,微风,72%
怀柔,更新于：2018-08-30 02:20发布,22.1℃,0mm,西北风,微风,88%
房山,更新于：2018-08-30 02:20发布,21.7℃,0mm,东北风,微风,88%
大兴,更新于：2018-08-30 02:20发布,21.6℃,0mm,东南风,微风,84%
昌平,更新于：2018-08-30 02:20发布,23.8℃,0mm,东北风,微风,67%
石景山,更新于：2018-08-30 02:20发布,24.1℃,0mm,东南风,微风,68%
海淀,更新于：2018-08-30 02:20发布,23.3℃,0mm,西南风,微风,77%
丰台,更新于：2018-08-30 02:20发布,24℃,0mm,东南风,微风,72%
朝阳,更新于：2018-08-30 02:20发布,25.8℃,0mm,西南风,微风,63%
北京,更新于：2018-08-30 03:20发布,23.4℃,0mm,西南风,微风,75%
延庆,更新于：2018-08-30 03:20发布,20.8℃,0mm,东北风,微风,74%
通州,更新于：2018-08-30 03:20发布,20.9℃,0mm,东南风,微风,98%
顺义,更新于：2018-08-30 03:20发布,23.3℃,0mm,东北风,微风,81%
平谷,更新于：2018-08-30 03:20发布,22℃,0mm,东北风,微风,86%
密云,更新于：2018-08-30 03:20发布,21.3℃,0mm,-,-,95%
门头沟,更新于：2018-08-30 03:20发布,22.6℃,0mm,东北风,微风,74%
怀柔,更新于：2018-08-30 03:20发布,22.3℃,0mm,西北风,微风,86%
房山,更新于：2018-08-30 03:20发布,22.6℃,0mm,西南风,微风,84%
大兴,更新于：2018-08-30 03:20发布,21.5℃,0mm,东南风,微风,86%
昌平,更新于：2018-08-30 03:20发布,23.1℃,0mm,东北风,微风,70%
石景山,更新于：2018-08-30 03:20发布,23.9℃,0mm,西南风,微风,69%
海淀,更新于：2018-08-30 03:20发布,23.2℃,0mm,东北风,微风,79%
丰台,更新于：2018-08-30 03:20发布,24.5℃,0mm,-,-,71%
朝阳,更新于：2018-08-30 03:20发布,25.6℃,0mm,西南风,微风,63%
北京,更新于：2018-08-30 04:20发布,23.4℃,0mm,东南风,微风,75%
延庆,更新于：2018-08-30 04:20发布,20.6℃,0mm,东北风,微风,74%
通州,更新于：2018-08-30 04:20发布,21.1℃,0mm,东南风,微风,99%
顺义,更新于：2018-08-30 04:20发布,23.4℃,0mm,东北风,微风,80%
平谷,更新于：2018-08-30 04:20发布,21.8℃,0mm,东北风,微风,87%
密云,更新于：2018-08-30 04:20发布,21.4℃,0mm,东北风,微风,94%
门头沟,更新于：2018-08-30 04:20发布,22.5℃,0mm,西南风,微风,73%
怀柔,更新于：2018-08-30 04:20发布,22.1℃,0mm,东北风,微风,87%
房山,更新于：2018-08-30 04:20发布,22.5℃,0mm,-,-,84%
大兴,更新于：2018-08-30 04:20发布,21.7℃,0mm,东南风,微风,85%
昌平,更新于：2018-08-30 04:20发布,23.5℃,0mm,西北风,微风,70%
石景山,更新于：2018-08-30 04:20发布,23.3℃,0mm,东北风,微风,73%
海淀,更新于：2018-08-30 04:20发布,22.8℃,0mm,-,-,84%
丰台,更新于：2018-08-30 04:20发布,23.9℃,0mm,-,-,75%
朝阳,更新于：2018-08-30 04:20发布,25.2℃,0mm,西南风,微风,66%
北京,更新于：2018-08-30 05:20发布,23.3℃,0mm,东南风,微风,78%
延庆,更新于：2018-08-30 05:20发布,20.6℃,0mm,东北风,微风,74%
通州,更新于：2018-08-30 05:20发布,21.3℃,0mm,-,-,98%
顺义,更新于：2018-08-30 05:20发布,23.1℃,0mm,东北风,微风,82%
平谷,更新于：2018-08-30 05:20发布,21.7℃,0mm,西北风,微风,87%
密云,更新于：2018-08-30 05:20发布,21.4℃,0mm,东北风,微风,94%
门头沟,更新于：2018-08-30 05:20发布,22.6℃,0mm,东南风,微风,74%
怀柔,更新于：2018-08-30 05:20发布,22℃,0mm,西北风,微风,85%
房山,更新于：2018-08-30 05:20发布,22.2℃,0mm,-,-,90%
大兴,更新于：2018-08-30 05:20发布,22.1℃,0mm,东南风,微风,84%
昌平,更新于：2018-08-30 05:20发布,22.6℃,0mm,西北风,微风,75%
石景山,更新于：2018-08-30 05:20发布,23℃,0mm,东北风,微风,77%
海淀,更新于：2018-08-30 05:20发布,22.7℃,0mm,-,-,80%
丰台,更新于：2018-08-30 05:20发布,23.6℃,0mm,东南风,微风,77%
朝阳,更新于：2018-08-30 05:20发布,24.2℃,0mm,东南风,微风,75%
北京,更新于：2018-08-30 06:20发布,23.7℃,0mm,东南风,微风,77%
延庆,更新于：2018-08-30 06:20发布,20.3℃,0.1mm,东北风,微风,80%
通州,更新于：2018-08-30 06:20发布,21.4℃,0mm,西北风,微风,99%
顺义,更新于：2018-08-30 06:20发布,23.3℃,0mm,东北风,微风,80%
平谷,更新于：2018-08-30 06:20发布,21.8℃,0mm,西北风,微风,89%
密云,更新于：2018-08-30 06:20发布,21.2℃,0mm,-,-,97%
门头沟,更新于：2018-08-30 06:20发布,22.4℃,0mm,西北风,微风,79%
怀柔,更新于：2018-08-30 06:20发布,21.8℃,0mm,西北风,微风,86%
房山,更新于：2018-08-30 06:20发布,21.8℃,0mm,西北风,微风,93%
大兴,更新于：2018-08-30 06:20发布,22.2℃,0mm,西南风,微风,86%
昌平,更新于：2018-08-30 06:20发布,22.5℃,0mm,西北风,微风,77%
石景山,更新于：2018-08-30 06:20发布,23.2℃,0mm,西北风,微风,73%
海淀,更新于：2018-08-30 06:20发布,23.3℃,0mm,西北风,微风,78%
丰台,更新于：2018-08-30 06:20发布,23.3℃,0mm,西南风,微风,83%
朝阳,更新于：2018-08-30 06:20发布,23.9℃,0mm,-,-,78%
北京,更新于：2018-08-30 08:20发布,22.9℃,0mm,西南风,微风,81%
延庆,更新于：2018-08-30 08:20发布,19.1℃,0.6mm,东北风,微风,90%
通州,更新于：2018-08-30 08:20发布,22.8℃,0mm,西北风,微风,97%
顺义,更新于：2018-08-30 08:20发布,23℃,0mm,东北风,微风,83%
平谷,更新于：2018-08-30 08:20发布,21.9℃,0.1mm,西北风,微风,94%
密云,更新于：2018-08-30 08:20发布,21.3℃,0.5mm,东南风,微风,100%
门头沟,更新于：2018-08-30 08:20发布,21.6℃,0mm,西北风,微风,86%
怀柔,更新于：2018-08-30 08:20发布,21.6℃,1.2mm,西南风,微风,95%
房山,更新于：2018-08-30 08:20发布,21.5℃,0mm,西北风,微风,91%
大兴,更新于：2018-08-30 08:20发布,22.4℃,0.1mm,西北风,微风,86%
昌平,更新于：2018-08-30 08:20发布,21.8℃,0.3mm,西北风,微风,87%
石景山,更新于：2018-08-30 08:20发布,23.1℃,0mm,西北风,微风,77%
海淀,更新于：2018-08-30 08:20发布,22.9℃,0mm,东北风,微风,88%
丰台,更新于：2018-08-30 08:20发布,22.9℃,0.1mm,西南风,微风,86%
朝阳,更新于：2018-08-30 08:20发布,24.4℃,0mm,西北风,微风,78%
北京,更新于：2018-08-30 10:20发布,22.3℃,0.4mm,西南风,微风,88%
延庆,更新于：2018-08-30 10:20发布,19.7℃,0mm,东北风,微风,90%
通州,更新于：2018-08-30 10:20发布,22.8℃,0.1mm,西北风,微风,98%
顺义,更新于：2018-08-30 10:20发布,22.4℃,0.3mm,东北风,微风,89%
平谷,更新于：2018-08-30 10:20发布,22.6℃,0.1mm,东南风,微风,94%
密云,更新于：2018-08-30 10:20发布,22.3℃,0mm,-,-,94%
门头沟,更新于：2018-08-30 10:20发布,21.7℃,0.2mm,东南风,微风,91%
怀柔,更新于：2018-08-30 10:20发布,21.6℃,0mm,西南风,微风,95%
房山,更新于：2018-08-30 10:20发布,22℃,0.6mm,西南风,微风,94%
大兴,更新于：2018-08-30 10:20发布,22.6℃,0.4mm,西南风,微风,90%
昌平,更新于：2018-08-30 10:20发布,22.4℃,0.1mm,东北风,微风,89%
石景山,更新于：2018-08-30 10:20发布,22.4℃,0.4mm,西北风,微风,86%
海淀,更新于：2018-08-30 10:20发布,22.6℃,0.6mm,-,-,96%
丰台,更新于：2018-08-30 10:20发布,22.6℃,0.6mm,西南风,微风,91%
朝阳,更新于：2018-08-30 10:20发布,22.5℃,0.4mm,东北风,微风,90%
北京,更新于：2018-08-30 11:20发布,22.4℃,0.5mm,西南风,微风,88%
延庆,更新于：2018-08-30 11:20发布,20.3℃,0mm,东北风,微风,86%
通州,更新于：2018-08-30 11:20发布,22.7℃,0.7mm,西北风,微风,98%
顺义,更新于：2018-08-30 11:20发布,22.9℃,0mm,西南风,微风,85%
平谷,更新于：2018-08-30 11:20发布,23.1℃,0mm,西北风,微风,92%
密云,更新于：2018-08-30 11:20发布,22.6℃,0mm,西南风,微风,95%
门头沟,更新于：2018-08-30 11:20发布,22.3℃,0.1mm,西南风,微风,83%
怀柔,更新于：2018-08-30 11:20发布,22℃,0mm,西南风,微风,96%
房山,更新于：2018-08-30 11:20发布,22.3℃,0.4mm,西北风,微风,91%
大兴,更新于：2018-08-30 11:20发布,22.3℃,0.4mm,西北风,微风,88%
昌平,更新于：2018-08-30 11:20发布,23.1℃,0mm,西北风,微风,83%
石景山,更新于：2018-08-30 11:20发布,23.1℃,0mm,西南风,微风,83%
海淀,更新于：2018-08-30 11:20发布,23℃,0mm,西南风,微风,88%
丰台,更新于：2018-08-30 11:20发布,23℃,0.1mm,西南风,微风,86%
朝阳,更新于：2018-08-30 11:20发布,23.1℃,0mm,西南风,微风,90%
北京,更新于：2018-08-30 12:20发布,22.9℃,0mm,西南风,微风,78%
延庆,更新于：2018-08-30 12:20发布,20.8℃,0mm,东北风,微风,84%
通州,更新于：2018-08-30 12:20发布,22.8℃,0.1mm,西北风,微风,97%
顺义,更新于：2018-08-30 12:20发布,23.8℃,0mm,西南风,微风,84%
平谷,更新于：2018-08-30 12:20发布,23℃,0.1mm,西南风,微风,91%
密云,更新于：2018-08-30 12:20发布,23.3℃,0mm,西南风,微风,90%
门头沟,更新于：2018-08-30 12:20发布,22.9℃,0mm,西南风,微风,80%
怀柔,更新于：2018-08-30 12:20发布,22.6℃,0mm,西南风,微风,92%
房山,更新于：2018-08-30 12:20发布,22.9℃,0mm,西南风,微风,86%
大兴,更新于：2018-08-30 12:20发布,22.7℃,0mm,西北风,微风,84%
昌平,更新于：2018-08-30 12:20发布,24.1℃,0mm,西北风,微风,76%
石景山,更新于：2018-08-30 12:20发布,24.5℃,0mm,西南风,微风,78%
